"Probe","Entrez","Symbol","pVal","logFC","CI.L","CI.R","AveExpr","IQR","Z"
"225782_at","253827","MSRB3",6.08736031737613e-06,0.76916260657009,0.607773397664143,0.930551815476036,7.06039776615295,1.13599747084518,9.34113698863189
"205259_at","4306","NR3C2",6.40357456774539e-06,0.655467005491939,0.516956475005946,0.793977535977932,7.73790090906438,0.273484290270254,9.27521774883476
"1553796_at","150622","SILC1",7.56968470431608e-06,-1.153178186339,-1.40264053973372,-0.903715832944276,5.96427405780198,1.49686217120168,-9.06040215875018
"227983_at","196383","RILPL2",8.28417883916183e-06,0.486139456173994,0.379635227501609,0.592643684846378,7.27840881662038,0.389874853620813,8.94643664367562
"219464_at","23632","CA14",8.60901460585198e-06,-1.26062634185051,-1.5383027334057,-0.98294995029531,5.6805786634383,0.856549250066691,-8.89822723562677
"219452_at","64174","DPEP2",1.53793924015397e-05,0.364665729610092,0.277483160359722,0.451848298860462,4.25613509585094,0.281351781239382,8.19825380441798
"225525_at","85379","KIAA1671",1.65905678807414e-05,0.708190352893002,0.537046750097575,0.87933395568843,8.16549913779593,0.398623076952402,8.11045852137086
"226230_at","57223","PPP4R3B",1.67443088585082e-05,0.863584723975934,0.654614194070368,1.0725552538815,7.42630985532296,0.802474624863253,8.09983139611949
"241440_at","440982","LOC440982",2.11438972043528e-05,0.866784934658938,0.649950994597101,1.08361887472078,3.96039952299668,0.626302814918507,7.83502099093438
"211896_s_at","1634","DCN",3.2631176792159e-05,1.75700105436478,1.28923957108742,2.22476253764213,8.3486539018999,0.98693678282215,7.36213260319479
"227533_at","55103","RALGPS2",3.47571009744807e-05,1.04313105433215,0.762881022076646,1.32338108658766,6.00907444436181,0.717002454036384,7.29540278741873
"228804_at","26220","DGCR5",4.27157917482111e-05,0.835982647037967,0.604582627869182,1.06738266620675,6.83517470297522,0.375389745695922,7.0809241679417
"226169_at","81846","SBF2",4.3541203519811e-05,0.414653749408821,0.299558347041552,0.529749151776089,8.35238390876542,0.697850875095031,7.0612842226999
"225679_at","122830","NAA30",4.60421817076442e-05,0.636578069390581,0.458443846998572,0.81471229178259,7.85918438131928,0.43647621414479,7.00422972773765
"222433_at","55740","ENAH",4.86212955589137e-05,0.336765197033703,0.241777783484598,0.431752610582808,8.41083050592981,0.745117388217725,6.94891840427712
"225185_at","22808","MRAS",5.83476608750537e-05,1.39351852363695,0.989866308119237,1.79717073915467,10.1739686050696,1.02687209939022,6.76645934626003
"226380_at","11099","PTPN21",6.2152199934316e-05,0.77774877060884,0.550369997114884,1.0051275441028,6.53549136579639,0.811375444189763,6.70417720603033
"202637_s_at","3383","ICAM1",6.22579924291562e-05,-0.49982755176877,-0.645991074274594,-0.353664029262947,6.13367008652898,0.633356075893958,-6.70250678603998
"237344_at","100505474","LINC01539",6.23797366716627e-05,-0.252233976587593,-0.326015346683722,-0.178452606491465,4.18296866389965,0.145666223455878,-6.70058842045851
"224881_at","154807","VKORC1L1",6.60941395022614e-05,0.635111417417053,0.447751423762847,0.822471411071259,7.36024676567577,0.424533465616864,6.64399242260264
"201125_s_at","3693","ITGB5",6.9106907302648e-05,0.656470328659302,0.461537451403293,0.851403205915311,8.28526928319084,0.694791380980419,6.60064049884417
"212907_at","7779","SLC30A1",7.41577201035675e-05,1.34665841395029,0.942609470986345,1.75070735691424,9.04056843344215,0.808865723745432,6.53250190925034
